location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,15/03/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,442.0,82.0,0.0,0.0,01/01/2026,15/03/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,502.0,82.0,0.0,0.0,01/01/2026,15/03/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,561.0,82.0,0.0,0.0,01/01/2026,15/03/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,356.0,52.0,0.0,0.0,16/03/2026,31/05/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,414.0,52.0,0.0,0.0,16/03/2026,31/05/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,472.0,52.0,0.0,0.0,16/03/2026,31/05/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,5,12,1,2,442.0,82.0,0.0,0.0,01/06/2026,31/12/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,13,15,1,2,502.0,82.0,0.0,0.0,01/06/2026,31/12/2026
,Kisima Ngeda Camp,,,,0,,USD,Tented Suite,,2,16,99,1,2,561.0,82.0,0.0,0.0,01/06/2026,31/12/2026
