location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,50.0,0.0,0.0,15.0,01/01/2027,31/03/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,155.0,0.0,0.0,10.0,01/01/2027,31/03/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,45.0,0.0,0.0,5.0,01/04/2027,31/05/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,105.0,0.0,0.0,10.0,01/04/2027,31/05/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,50.0,0.0,0.0,15.0,01/06/2027,31/10/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,155.0,0.0,0.0,10.0,01/06/2027,31/10/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,12,1,1,45.0,0.0,0.0,5.0,01/11/2027,30/11/2027
Lake Eyasi,Lake Eyasi Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,105.0,0.0,0.0,10.0,01/11/2027,30/11/2027
