location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,4,11,1,1,230.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,12,15,1,1,345.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,460.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,4,11,1,1,125.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,12,15,1,1,187.5,0.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,4,11,1,1,230.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,12,15,1,1,345.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,460.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,4,11,1,1,125.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,12,15,1,1,187.5,0.0,0.0,0.0,01/11/2026,19/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,4,11,1,1,230.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,12,15,1,1,345.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,460.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,4,11,1,2,190.0,380.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,12,15,1,2,285.0,380.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,380.0,380.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,4,11,1,2,125.0,250.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,12,15,1,2,187.5,250.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,250.0,250.0,0.0,0.0,01/03/2026,31/05/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,4,11,1,2,190.0,380.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,12,15,1,2,285.0,380.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangira Ndovu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,380.0,380.0,0.0,0.0,01/06/2026,31/10/2026
